Sport,Parameter,Model,R2,MSE
Rowing,CV,SARIMA,0.15879412252216885,0.01530121337324677
Rowing,CV,SARIMAX,0.13357430277509863,0.01575995225455578
Rugby,drug,ARIMA,1.0,0.0
Rugby,drug,SARIMA,1.0,0.0
Rugby,drug,SARIMAX,1.0,0.0
Rugby Sevens,drug,ARIMA,1.0,0.0
Rugby Sevens,drug,SARIMA,1.0,0.0
Rugby Sevens,drug,SARIMAX,1.0,0.0
Sailing,drug,ARIMA,-0.021633860252142867,0.03291931327479126
Sailing,drug,SARIMA,-0.024597436024137664,0.033014806271888866
Sailing,drug,SARIMAX,-0.021633860252142867,0.03291931327479126
Sailing,equity,ARIMA,0.563336661443691,0.01292666636468629
Sailing,equity,SARIMA,0.5985205976037699,0.011885106508433068
Sailing,equity,SARIMAX,0.563336661443691,0.01292666636468629
Sailing,popularity,ARIMA,0.05693141792974943,2.22105765488515e-05
Sailing,popularity,SARIMA,0.026947937784995935,2.2916729201603545e-05
Sailing,popularity,SARIMAX,0.05693141792974943,2.22105765488515e-05
Sailing,normalizedcountry,ARIMA,0.4735419790990063,0.0064154174426995095
Sailing,normalizedcountry,SARIMA,0.3718481750253324,0.007654658139141298
Sailing,normalizedcountry,SARIMAX,0.4735419790990063,0.0064154174426995095
Sailing,CV,ARIMA,0.1666350037203257,0.011764507415392134
Sailing,CV,SARIMA,0.12149374107793831,0.012401760865521813
Sailing,CV,SARIMAX,0.1666350037203257,0.011764507415392134
Shooting,drug,ARIMA,-0.019454885468212613,0.06343274842913323
Shooting,drug,SARIMA,-0.023441694853525652,0.06368081656866381
Shooting,drug,SARIMAX,-0.019454885468212613,0.06343274842913323
Shooting,equity,ARIMA,0.5570789290626733,0.015011983185914688
Shooting,equity,SARIMA,0.5360842463371079,0.015723558779739615
Shooting,equity,SARIMAX,0.5570789290626733,0.015011983185914688
Shooting,popularity,ARIMA,0.5413922558898148,0.0012657362602841434
Shooting,popularity,SARIMA,0.5011887114868352,0.0013766961919388708
Shooting,popularity,SARIMAX,0.5413922558898148,0.0012657362602841434
Shooting,normalizedcountry,ARIMA,0.504542463827509,0.013761497975394547
Shooting,normalizedcountry,SARIMA,0.4436604348595765,0.015452516593967803
Shooting,normalizedcountry,SARIMAX,0.504542463827509,0.013761497975394547
Shooting,CV,ARIMA,-0.09056757750986577,0.01128794383320633
