Sport,Parameter,Model,MSE,R2
Swimming,CV,ARIMA,0.08921269012327307,-8.100688361386325
Swimming,CV,SARIMAX,0.08921269012327307,-8.100688361386325
Table Tennis,CV,ARIMA,0.009780722788489344,-0.09083771163786891
Table Tennis,CV,SARIMAX,0.009780722788489344,-0.09083771163786891
Taekwondo,equity,ARIMA,0.0002623956927650653,-25.03621261461379
Taekwondo,equity,SARIMAX,7.853396960781068e-05,-6.792533134335071
Taekwondo,normalizedcountry,ARIMA,0.00348125,-116.26315789473662
Taekwondo,normalizedcountry,SARIMAX,0.00348125,-116.26315789473662
Taekwondo,CV,ARIMA,0.011365158346690349,-362.3632530519274
Taekwondo,CV,SARIMAX,0.02256364746856458,-948.4443202239927
Tennis,CV,ARIMA,0.01292489606374461,-0.9976636568398176
Tennis,CV,SARIMAX,0.01010407480182483,-0.561679329415711
Trampolining,popularity,ARIMA,4.2596593538820835e-07,-144.5464696537251
Trampolining,popularity,SARIMAX,4.2596593538820835e-07,-144.5464696537251
Trampolining,normalizedcountry,ARIMA,3.175300585359878e-05,-4.715541053647803
Trampolining,normalizedcountry,SARIMAX,7.304057023652195e-05,-12.147302642574001
Triathlon,drug,ARIMA,0.13333333333333333,-0.034482758620689724
Triathlon,drug,SARIMAX,0.13333333333333333,-0.034482758620689724
Triathlon,equity,ARIMA,0.0004379213005475642,-122.61151999999866
Triathlon,equity,SARIMAX,0.0004379213005475642,-122.61151999999866
Tug-Of-War,normalizedcountry,ARIMA,3.0000000000000004e-05,-0.15384615384615374
Tug-Of-War,normalizedcountry,SARIMAX,3.0000000000000004e-05,-0.15384615384615374
Tug-Of-War,CV,ARIMA,0.04373566825288783,-7.735160109425166
Tug-Of-War,CV,SARIMAX,0.04373566825288783,-7.735160109425166
Volleyball,drug,ARIMA,0.2,-0.09756097560975596
Volleyball,drug,SARIMAX,0.2,-0.09756097560975596
Water Polo,popularity,ARIMA,2.7281030616548134e-05,-0.5170978830173381
Water Polo,popularity,SARIMAX,3.1791421611239405e-05,-0.9228363832010769
Water Polo,normalizedcountry,ARIMA,0.0005109616157113387,-0.5364494097646704
Water Polo,normalizedcountry,SARIMAX,0.0005325288231836981,-0.6013014890055877
Water Polo,CV,ARIMA,0.020251137522043123,-1.7722806258161676
Water Polo,CV,SARIMAX,0.020251137522043123,-1.7722806258161676
Weightlifting,popularity,ARIMA,0.000125846342776605,-10.152552231336925
Weightlifting,popularity,SARIMAX,0.000125846342776605,-10.152552231336925
Weightlifting,CV,ARIMA,0.034909737726928416,-0.8317038500249949
Weightlifting,CV,SARIMAX,0.034909737726928416,-0.8317038500249949
Wrestling,drug,ARIMA,2.5172413793103448,-0.1580962800875274
Wrestling,drug,SARIMAX,2.5172413793103448,-0.1580962800875274
Wrestling,CV,ARIMA,2.7429120999073042,-379.25305693668724
Wrestling,CV,SARIMAX,2.7429120999073042,-379.25305693668724
